row_index,sequence_id,record_id,window_start,fs_hz,rpeak_input_0,rpeak_input_1,rpeak_input_2,rpeak_target,rr_input_0_1,rr_input_1_2,rr_prev_to_target,rr_prev_to_target_sec,input_window_start,input_window_end,target_window_start,target_window_end,target_overlap_samples,target_overlap_fraction,input_target_overlap,input_contains_target_rpeak
0,102_00000,102,0,360.0,29276,29582,29880,30161,306,298,281,0.7805555555555556,29186,29970,30071,30251,0,0.0,False,False
1,102_00001,102,1,360.0,29582,29880,30161,30440,298,281,279,0.775,29492,30251,30350,30530,0,0.0,False,False
2,102_00002,102,2,360.0,29880,30161,30440,30716,281,279,276,0.7666666666666667,29790,30530,30626,30806,0,0.0,False,False
3,102_00003,102,3,360.0,30161,30440,30716,30999,279,276,283,0.7861111111111111,30071,30806,30909,31089,0,0.0,False,False
4,102_00004,102,4,360.0,30440,30716,30999,31289,276,283,290,0.8055555555555556,30350,31089,31199,31379,0,0.0,False,False
5,102_00005,102,5,360.0,30716,30999,31289,31586,283,290,297,0.825,30626,31379,31496,31676,0,0.0,False,False
6,102_00006,102,6,360.0,30999,31289,31586,31882,290,297,296,0.8222222222222222,30909,31676,31792,31972,0,0.0,False,False
7,102_00007,102,7,360.0,31289,31586,31882,32180,297,296,298,0.8277777777777777,31199,31972,32090,32270,0,0.0,False,False
8,102_00008,102,8,360.0,31586,31882,32180,32466,296,298,286,0.7944444444444444,31496,32270,32376,32556,0,0.0,False,False
9,102_00009,102,9,360.0,31882,32180,32466,32734,298,286,268,0.7444444444444445,31792,32556,32644,32824,0,0.0,False,False
10,102_00010,102,10,360.0,32180,32466,32734,33010,286,268,276,0.7666666666666667,32090,32824,32920,33100,0,0.0,False,False
11,102_00011,102,11,360.0,32466,32734,33010,33297,268,276,287,0.7972222222222223,32376,33100,33207,33387,0,0.0,False,False
12,102_00012,102,12,360.0,32734,33010,33297,33595,276,287,298,0.8277777777777777,32644,33387,33505,33685,0,0.0,False,False
13,102_00013,102,13,360.0,33010,33297,33595,33883,287,298,288,0.8,32920,33685,33793,33973,0,0.0,False,False
14,102_00014,102,14,360.0,33297,33595,33883,38824,298,288,4941,13.725,33207,33973,38734,38914,0,0.0,False,False
15,102_00015,102,15,360.0,33595,33883,38824,39116,288,4941,292,0.8111111111111111,33505,38914,39026,39206,0,0.0,False,False
16,102_00016,102,16,360.0,33883,38824,39116,39401,4941,292,285,0.7916666666666666,33793,39206,39311,39491,0,0.0,False,False
17,102_00017,102,17,360.0,38824,39116,39401,39683,292,285,282,0.7833333333333333,38734,39491,39593,39773,0,0.0,False,False
18,102_00018,102,18,360.0,39116,39401,39683,39977,285,282,294,0.8166666666666667,39026,39773,39887,40067,0,0.0,False,False
19,102_00019,102,19,360.0,39401,39683,39977,40280,282,294,303,0.8416666666666667,39311,40067,40190,40370,0,0.0,False,False
20,102_00020,102,20,360.0,39683,39977,40280,40589,294,303,309,0.8583333333333333,39593,40370,40499,40679,0,0.0,False,False
21,102_00021,102,21,360.0,39977,40280,40589,40880,303,309,291,0.8083333333333333,39887,40679,40790,40970,0,0.0,False,False
22,102_00022,102,22,360.0,40280,40589,40880,41157,309,291,277,0.7694444444444445,40190,40970,41067,41247,0,0.0,False,False
23,102_00023,102,23,360.0,40589,40880,41157,41732,291,277,575,1.5972222222222223,40499,41247,41642,41822,0,0.0,False,False
24,102_00024,102,24,360.0,40880,41157,41732,42014,277,575,282,0.7833333333333333,40790,41822,41924,42104,0,0.0,False,False
25,102_00025,102,25,360.0,41157,41732,42014,42616,575,282,602,1.6722222222222223,41067,42104,42526,42706,0,0.0,False,False
26,102_00026,102,26,360.0,41732,42014,42616,42916,282,602,300,0.8333333333333334,41642,42706,42826,43006,0,0.0,False,False
27,102_00027,102,27,360.0,42014,42616,42916,43203,602,300,287,0.7972222222222223,41924,43006,43113,43293,0,0.0,False,False
28,102_00028,102,28,360.0,42616,42916,43203,43481,300,287,278,0.7722222222222223,42526,43293,43391,43571,0,0.0,False,False
29,102_00029,102,29,360.0,42916,43203,43481,43767,287,278,286,0.7944444444444444,42826,43571,43677,43857,0,0.0,False,False
30,102_00030,102,30,360.0,43203,43481,43767,44056,278,286,289,0.8027777777777778,43113,43857,43966,44146,0,0.0,False,False
31,102_00031,102,31,360.0,43481,43767,44056,44351,286,289,295,0.8194444444444444,43391,44146,44261,44441,0,0.0,False,False
32,102_00032,102,32,360.0,43767,44056,44351,44650,289,295,299,0.8305555555555556,43677,44441,44560,44740,0,0.0,False,False
33,102_00033,102,33,360.0,44056,44351,44650,44945,295,299,295,0.8194444444444444,43966,44740,44855,45035,0,0.0,False,False
34,102_00034,102,34,360.0,44351,44650,44945,45244,299,295,299,0.8305555555555556,44261,45035,45154,45334,0,0.0,False,False
35,102_00035,102,35,360.0,44650,44945,45244,45521,295,299,277,0.7694444444444445,44560,45334,45431,45611,0,0.0,False,False
36,102_00036,102,36,360.0,44945,45244,45521,45799,299,277,278,0.7722222222222223,44855,45611,45709,45889,0,0.0,False,False
37,102_00037,102,37,360.0,45244,45521,45799,46088,277,278,289,0.8027777777777778,45154,45889,45998,46178,0,0.0,False,False
38,102_00038,102,38,360.0,45521,45799,46088,46380,278,289,292,0.8111111111111111,45431,46178,46290,46470,0,0.0,False,False
39,102_00039,102,39,360.0,45799,46088,46380,46679,289,292,299,0.8305555555555556,45709,46470,46589,46769,0,0.0,False,False
40,102_00040,102,40,360.0,46088,46380,46679,46978,292,299,299,0.8305555555555556,45998,46769,46888,47068,0,0.0,False,False
41,102_00041,102,41,360.0,46380,46679,46978,47268,299,299,290,0.8055555555555556,46290,47068,47178,47358,0,0.0,False,False
42,102_00042,102,42,360.0,46679,46978,47268,47561,299,290,293,0.8138888888888889,46589,47358,47471,47651,0,0.0,False,False
43,102_00043,102,43,360.0,46978,47268,47561,47841,290,293,280,0.7777777777777778,46888,47651,47751,47931,0,0.0,False,False
44,102_00044,102,44,360.0,47268,47561,47841,48116,293,280,275,0.7638888888888888,47178,47931,48026,48206,0,0.0,False,False
45,102_00045,102,45,360.0,47561,47841,48116,48405,280,275,289,0.8027777777777778,47471,48206,48315,48495,0,0.0,False,False
46,102_00046,102,46,360.0,47841,48116,48405,48709,275,289,304,0.8444444444444444,47751,48495,48619,48799,0,0.0,False,False
47,102_00047,102,47,360.0,48116,48405,48709,49004,289,304,295,0.8194444444444444,48026,48799,48914,49094,0,0.0,False,False
48,102_00048,102,48,360.0,48405,48709,49004,49293,304,295,289,0.8027777777777778,48315,49094,49203,49383,0,0.0,False,False
49,102_00049,102,49,360.0,48709,49004,49293,49579,295,289,286,0.7944444444444444,48619,49383,49489,49669,0,0.0,False,False
50,102_00050,102,50,360.0,49004,49293,49579,49858,289,286,279,0.775,48914,49669,49768,49948,0,0.0,False,False
51,102_00051,102,51,360.0,49293,49579,49858,50143,286,279,285,0.7916666666666666,49203,49948,50053,50233,0,0.0,False,False
52,102_00052,102,52,360.0,49579,49858,50143,50419,279,285,276,0.7666666666666667,49489,50233,50329,50509,0,0.0,False,False
53,102_00053,102,53,360.0,49858,50143,50419,50701,285,276,282,0.7833333333333333,49768,50509,50611,50791,0,0.0,False,False
54,102_00054,102,54,360.0,50143,50419,50701,51013,276,282,312,0.8666666666666667,50053,50791,50923,51103,0,0.0,False,False
55,102_00055,102,55,360.0,50419,50701,51013,51313,282,312,300,0.8333333333333334,50329,51103,51223,51403,0,0.0,False,False
56,102_00056,102,56,360.0,50701,51013,51313,51597,312,300,284,0.7888888888888889,50611,51403,51507,51687,0,0.0,False,False
57,102_00057,102,57,360.0,51013,51313,51597,51882,300,284,285,0.7916666666666666,50923,51687,51792,51972,0,0.0,False,False
58,102_00058,102,58,360.0,51313,51597,51882,52161,284,285,279,0.775,51223,51972,52071,52251,0,0.0,False,False
59,102_00059,102,59,360.0,51597,51882,52161,52441,285,279,280,0.7777777777777778,51507,52251,52351,52531,0,0.0,False,False
60,102_00060,102,60,360.0,51882,52161,52441,52724,279,280,283,0.7861111111111111,51792,52531,52634,52814,0,0.0,False,False
61,102_00061,102,61,360.0,52161,52441,52724,53012,280,283,288,0.8,52071,52814,52922,53102,0,0.0,False,False
62,102_00062,102,62,360.0,52441,52724,53012,53318,283,288,306,0.85,52351,53102,53228,53408,0,0.0,False,False
63,102_00063,102,63,360.0,52724,53012,53318,53615,288,306,297,0.825,52634,53408,53525,53705,0,0.0,False,False
64,102_00064,102,64,360.0,53012,53318,53615,53893,306,297,278,0.7722222222222223,52922,53705,53803,53983,0,0.0,False,False
65,102_00065,102,65,360.0,53318,53615,53893,54174,297,278,281,0.7805555555555556,53228,53983,54084,54264,0,0.0,False,False
66,102_00066,102,66,360.0,53615,53893,54174,54451,278,281,277,0.7694444444444445,53525,54264,54361,54541,0,0.0,False,False
67,102_00067,102,67,360.0,53893,54174,54451,54733,281,277,282,0.7833333333333333,53803,54541,54643,54823,0,0.0,False,False
