system,system_key,record,n_sequences,n_classes_present,accuracy,accuracy_ci_low,accuracy_ci_high,balanced_accuracy,balanced_accuracy_ci_low,balanced_accuracy_ci_high,macro_f1,macro_f1_ci_low,macro_f1_ci_high,weighted_f1,weighted_f1_ci_low,weighted_f1_ci_high,mcc,mcc_ci_low,mcc_ci_high,kappa,kappa_ci_low,kappa_ci_high,degenerate
Model-I (CNN-LSTM),model1,102,96,1,1.0,1.0,1.0,1.0,1.0,1.0,0.125,0.125,0.125,1.0,1.0,1.0,0.0,0.0,0.0,,,,True
Model-I (CNN-LSTM),model1,104,160,1,1.0,1.0,1.0,1.0,1.0,1.0,0.125,0.125,0.125,1.0,1.0,1.0,0.0,0.0,0.0,,,,True
Model-I (CNN-LSTM),model1,114,1829,3,0.7927829414980864,0.7747402952433023,0.8108255877528704,0.29915611814345994,0.26135531135531137,0.49226038278649187,0.1333041958041958,0.10951405632904648,0.17371408811948227,0.879805541642611,0.8675579522989246,0.8920157700373763,0.004775344374965538,-0.021164355367220278,0.043684419594068914,0.0014937455706194314,-0.0069152001418502085,0.013836072151309555,False
Model-I (CNN-LSTM),model1,118,2258,2,0.12311780336581045,0.10937776793622675,0.13684676705048715,0.06429232192414432,0.0570890804231049,0.07146243633994437,0.02833265389319201,0.02544656784729548,0.031075967758743696,0.21702461547238663,0.19481268325952264,0.23872766465418108,-0.0016518512895184608,-0.020004300708048213,0.014421447176906285,-0.00031726697546119453,-0.00389434209935956,0.002764069015401671,False
Model-I (CNN-LSTM),model1,201,1760,5,0.9215909090909091,0.9085227272727273,0.9335227272727272,0.2,0.2,0.25,0.1199349304939367,0.11904761904761904,0.12073529411764707,0.8842475330052969,0.8654917133804534,0.9014268826970855,0.04048320079889747,0.0,0.07364802017637331,0.006633892565295896,0.0,0.021631473160370944,False
Model-I (CNN-LSTM),model1,ALL,6103,6,0.5908569555956087,0.578731771260036,0.6034737014582991,0.17272392316944005,0.1695311708170657,0.20680551917578882,0.12298671248286877,0.1188836999809802,0.1280530468881665,0.530240758523338,0.515415526712071,0.5457424703509209,0.14638873873991565,0.12968022478141789,0.1643324498748992,0.11209855576678307,0.09802980161140663,0.12730311730269028,False
Model-II (CNN-BiLSTM-Transformer),model2,102,96,1,1.0,1.0,1.0,1.0,1.0,1.0,0.125,0.125,0.125,1.0,1.0,1.0,0.0,0.0,0.0,,,,True
Model-II (CNN-BiLSTM-Transformer),model2,104,160,1,1.0,1.0,1.0,1.0,1.0,1.0,0.125,0.125,0.125,1.0,1.0,1.0,0.0,0.0,0.0,,,,True
Model-II (CNN-BiLSTM-Transformer),model2,114,1829,3,0.9387643521049754,0.9278157463094587,0.949699289229087,0.31498807558246195,0.3115021760748745,0.47468424019317884,0.12112020316027088,0.12038339142814665,0.12184520471116096,0.9626043046132845,0.9549404588795954,0.9701574903385859,0.01962804961385523,-0.010115315197467667,0.06134953199032434,0.011742457135689555,-0.0062835925694319505,0.036650184324193216,False
Model-II (CNN-BiLSTM-Transformer),model2,118,2258,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
