system,record,n_sequences,Accuracy,Macro_F1,degenerate
Model-I (CNN-LSTM),102,96,"1.000 [1.000, 1.000]","0.125 [0.125, 0.125]",True
Model-I (CNN-LSTM),104,160,"1.000 [1.000, 1.000]","0.125 [0.125, 0.125]",True
Model-I (CNN-LSTM),114,1829,"0.793 [0.775, 0.811]","0.133 [0.110, 0.174]",False
Model-I (CNN-LSTM),118,2258,"0.123 [0.109, 0.137]","0.028 [0.025, 0.031]",False
Model-I (CNN-LSTM),201,1760,"0.922 [0.909, 0.934]","0.120 [0.119, 0.121]",False
Model-I (CNN-LSTM),ALL,6103,"0.591 [0.579, 0.603]","0.123 [0.119, 0.128]",False
Model-II (CNN-BiLSTM-Transformer),102,96,"1.000 [1.000, 1.000]","0.125 [0.125, 0.125]",True
Model-II (CNN-BiLSTM-Transformer),104,160,"1.000 [1.000, 1.000]","0.125 [0.125, 0.125]",True
Model-II (CNN-BiLSTM-Transformer),114,1829,"0.939 [0.928, 0.950]","0.121 [0.120, 0.122]",False
Model-II (CNN-BiLSTM-Transformer),118,2258,"0.000 [0.000, 0.000]","0.000 [0.000, 0.000]",True
Model-II (CNN-BiLSTM-Transformer),201,1760,"0.914 [0.901, 0.927]","0.120 [0.119, 0.120]",False
Model-II (CNN-BiLSTM-Transformer),ALL,6103,"0.587 [0.575, 0.600]","0.093 [0.091, 0.094]",False
Persistence baseline,102,96,"1.000 [1.000, 1.000]","0.125 [0.125, 0.125]",True
Persistence baseline,104,160,"1.000 [1.000, 1.000]","0.125 [0.125, 0.125]",True
Persistence baseline,114,1829,"0.992 [0.987, 0.996]","0.175 [0.137, 0.208]",False
Persistence baseline,118,2258,"0.916 [0.904, 0.927]","0.121 [0.119, 0.124]",False
Persistence baseline,201,1760,"0.874 [0.858, 0.889]","0.177 [0.148, 0.208]",False
Persistence baseline,ALL,6103,"0.930 [0.923, 0.936]","0.282 [0.262, 0.309]",False
Majority-class baseline,102,96,"1.000 [1.000, 1.000]","0.125 [0.125, 0.125]",True
Majority-class baseline,104,160,"1.000 [1.000, 1.000]","0.125 [0.125, 0.125]",True
Majority-class baseline,114,1829,"0.993 [0.990, 0.997]","0.125 [0.124, 0.125]",False
Majority-class baseline,118,2258,"0.000 [0.000, 0.000]","0.000 [0.000, 0.000]",True
Majority-class baseline,201,1760,"0.922 [0.909, 0.934]","0.120 [0.119, 0.121]",False
Majority-class baseline,ALL,6103,"0.605 [0.594, 0.618]","0.094 [0.093, 0.095]",False
