partition,class,total_beats,overlapping_beats,pct_overlapping
full_corpus,N,74994,1978,2.6375
full_corpus,LBBB,8070,0,0.0
full_corpus,RBBB,7254,0,0.0
full_corpus,APC,2544,375,14.7406
full_corpus,AESC,16,0,0.0
full_corpus,ABERR,150,31,20.6667
full_corpus,NPC,83,25,30.1205
full_corpus,NESC,229,21,9.1703
full_corpus,ALL,93340,2430,2.6034
protocolB_test,N,3703,150,4.0508
protocolB_test,LBBB,0,0,0.0
protocolB_test,RBBB,2164,0,0.0
protocolB_test,APC,136,10,7.3529
protocolB_test,AESC,0,0,0.0
protocolB_test,ABERR,97,19,19.5876
protocolB_test,NPC,3,0,0.0
protocolB_test,NESC,10,0,0.0
protocolB_test,ALL,6113,179,2.9282
