partition,class,total_beats,overlapping_beats,pct_overlapping,neighbour
full_corpus,N,74994,1978,2.6375,next_retained_beat
full_corpus,LBBB,8070,0,0.0,next_retained_beat
full_corpus,RBBB,7254,0,0.0,next_retained_beat
full_corpus,APC,2544,375,14.7406,next_retained_beat
full_corpus,AESC,16,0,0.0,next_retained_beat
full_corpus,ABERR,150,31,20.6667,next_retained_beat
full_corpus,NPC,83,25,30.1205,next_retained_beat
full_corpus,NESC,229,21,9.1703,next_retained_beat
full_corpus,ALL,93340,2430,2.6034,next_retained_beat
protocolB_test,N,3703,150,4.0508,next_retained_beat
protocolB_test,LBBB,0,0,0.0,next_retained_beat
protocolB_test,RBBB,2164,0,0.0,next_retained_beat
protocolB_test,APC,136,10,7.3529,next_retained_beat
protocolB_test,AESC,0,0,0.0,next_retained_beat
protocolB_test,ABERR,97,19,19.5876,next_retained_beat
protocolB_test,NPC,3,0,0.0,next_retained_beat
protocolB_test,NESC,10,0,0.0,next_retained_beat
protocolB_test,ALL,6113,179,2.9282,next_retained_beat
full_corpus,N,75008,5045,6.7259,next_annotated_beat
full_corpus,LBBB,8071,201,2.4904,next_annotated_beat
full_corpus,RBBB,7254,38,0.5238,next_annotated_beat
full_corpus,APC,2544,443,17.4135,next_annotated_beat
full_corpus,AESC,16,2,12.5,next_annotated_beat
full_corpus,ABERR,150,35,23.3333,next_annotated_beat
full_corpus,NPC,83,25,30.1205,next_annotated_beat
full_corpus,NESC,229,29,12.6638,next_annotated_beat
full_corpus,ALL,93355,5818,6.2321,next_annotated_beat
protocolB_test,N,3705,210,5.668,next_annotated_beat
protocolB_test,LBBB,0,0,0.0,next_annotated_beat
protocolB_test,RBBB,2164,20,0.9242,next_annotated_beat
protocolB_test,APC,136,13,9.5588,next_annotated_beat
protocolB_test,AESC,0,0,0.0,next_annotated_beat
protocolB_test,ABERR,97,19,19.5876,next_annotated_beat
protocolB_test,NPC,3,0,0.0,next_annotated_beat
protocolB_test,NESC,10,0,0.0,next_annotated_beat
protocolB_test,ALL,6115,262,4.2845,next_annotated_beat
